@RELATION 'FEATURE_VALUES_MaxSAT-2012-pms-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE pnr_var_max NUMERIC
@ATTRIBUTE pnr_cls_std NUMERIC
@ATTRIBUTE pnr_var_mean NUMERIC
@ATTRIBUTE numClauses NUMERIC
@ATTRIBUTE pnr_cls_mean NUMERIC
@ATTRIBUTE pnr_var_spread NUMERIC
@ATTRIBUTE horn NUMERIC
@ATTRIBUTE binary NUMERIC
@ATTRIBUTE pnr_var_min NUMERIC
@ATTRIBUTE var_clauses_ratio NUMERIC
@ATTRIBUTE perc_soft NUMERIC
@ATTRIBUTE trinary NUMERIC
@ATTRIBUTE unary NUMERIC
@ATTRIBUTE pnr_var_std NUMERIC
@ATTRIBUTE vcg_var_std NUMERIC
@ATTRIBUTE vcg_cls_min NUMERIC

@DATA
benchmarks/pms_crafted/frb/frb20-11-1.partial.wcnf,1,0.03448,5.061,0.02001,5854,0.03758,0.02166,1,1,0.01282,0.03758,0.03758,1,0.03758,0.21993,0.2011,0.00455
benchmarks/pms_crafted/frb/frb20-11-2.partial.wcnf,1,0.03333,5.03304,0.02009,5794,0.03797,0.02051,1,1,0.01282,0.03797,0.03797,1,0.03797,0.20184,0.18789,0.00455
benchmarks/pms_crafted/frb/frb20-11-3.partial.wcnf,1,0.04348,5.05087,0.02023,5833,0.03772,0.03128,1,1,0.0122,0.03772,0.03772,1,0.03772,0.26179,0.20152,0.00455
benchmarks/pms_crafted/frb/frb20-11-4.partial.wcnf,1,0.03448,5.03356,0.02019,5793,0.03798,0.02349,1,1,0.01099,0.03798,0.03798,1,0.03798,0.20837,0.20415,0.00455
benchmarks/pms_crafted/frb/frb20-11-5.partial.wcnf,1,0.03704,5.0461,0.02046,5821,0.03779,0.02454,1,1,0.0125,0.03779,0.03779,1,0.03779,0.2512,0.24191,0.00455
benchmarks/pms_crafted/frb/frb25-13-1.partial.wcnf,1,0.02326,5.7107,0.01547,10924,0.02975,0.01315,1,1,0.0101,0.02975,0.02975,1,0.02975,0.15722,0.15467,0.00308
benchmarks/pms_crafted/frb/frb25-13-2.partial.wcnf,1,0.02439,5.71612,0.01561,10943,0.0297,0.01459,1,1,0.0098,0.0297,0.0297,1,0.0297,0.1858,0.18913,0.00308
benchmarks/pms_crafted/frb/frb25-13-3.partial.wcnf,1,0.03226,5.73374,0.01571,11005,0.02953,0.02216,1,1,0.0101,0.02953,0.02953,1,0.02953,0.23296,0.20472,0.00308
benchmarks/pms_crafted/frb/frb25-13-4.partial.wcnf,1,0.03226,5.66725,0.01602,10762,0.0302,0.02216,1,1,0.0101,0.0302,0.0302,1,0.0302,0.22086,0.20203,0.00308
benchmarks/pms_crafted/frb/frb25-13-5.partial.wcnf,1,0.02778,5.68472,0.01577,10833,0.03,0.01768,1,1,0.0101,0.03,0.03,1,0.03,0.19648,0.18128,0.00308
benchmarks/pms_crafted/frb/frb30-15-1.partial.wcnf,1,0.02326,6.30813,0.01282,18350,0.02452,0.01513,1,1,0.00813,0.02452,0.02452,1,0.02452,0.19171,0.16898,0.00222
benchmarks/pms_crafted/frb/frb30-15-2.partial.wcnf,1,0.02174,6.31586,0.0127,18392,0.02447,0.01319,1,1,0.00855,0.02447,0.02447,1,0.02447,0.16253,0.15699,0.00222
