@RELATION 'FEATURE_VALUES_MaxSAT-2012-pms-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 6'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE pnr_var_max NUMERIC
@ATTRIBUTE pnr_cls_std NUMERIC
@ATTRIBUTE pnr_var_mean NUMERIC
@ATTRIBUTE numClauses NUMERIC
@ATTRIBUTE pnr_cls_mean NUMERIC
@ATTRIBUTE pnr_var_spread NUMERIC

@DATA
benchmarks/pms_crafted/frb/frb20-11-1.partial.wcnf,1,0.03448,5.061,0.02001,5854,0.03758,0.02166
benchmarks/pms_crafted/frb/frb20-11-2.partial.wcnf,1,0.03333,5.03304,0.02009,5794,0.03797,0.02051
benchmarks/pms_crafted/frb/frb20-11-3.partial.wcnf,1,0.04348,5.05087,0.02023,5833,0.03772,0.03128
benchmarks/pms_crafted/frb/frb20-11-4.partial.wcnf,1,0.03448,5.03356,0.02019,5793,0.03798,0.02349
benchmarks/pms_crafted/frb/frb20-11-5.partial.wcnf,1,0.03704,5.0461,0.02046,5821,0.03779,0.02454
benchmarks/pms_crafted/frb/frb25-13-1.partial.wcnf,1,0.02326,5.7107,0.01547,10924,0.02975,0.01315
benchmarks/pms_crafted/frb/frb25-13-2.partial.wcnf,1,0.02439,5.71612,0.01561,10943,0.0297,0.01459
benchmarks/pms_crafted/frb/frb25-13-3.partial.wcnf,1,0.03226,5.73374,0.01571,11005,0.02953,0.02216
benchmarks/pms_crafted/frb/frb25-13-4.partial.wcnf,1,0.03226,5.66725,0.01602,10762,0.0302,0.02216
benchmarks/pms_crafted/frb/frb25-13-5.partial.wcnf,1,0.02778,5.68472,0.01577,10833,0.03,0.01768
benchmarks/pms_crafted/frb/frb30-15-1.partial.wcnf,1,0.02326,6.30813,0.01282,18350,0.02452,0.01513
benchmarks/pms_crafted/frb/frb30-15-2.partial.wcnf,1,0.02174,6.31586,0.0127,18392,0.02447,0.01319
