@RELATION 'FEATURE_VALUES_MaxSAT-2012-pms-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 4'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE horn NUMERIC
@ATTRIBUTE vcg_var_spread NUMERIC
@ATTRIBUTE vcg_var_min NUMERIC
@ATTRIBUTE vcg_var_max NUMERIC

@DATA
benchmarks/pms_crafted/frb/frb20-11-1.partial.wcnf,1,1,0.00837,0.00495,0.01332
benchmarks/pms_crafted/frb/frb20-11-2.partial.wcnf,1,1,0.00828,0.00518,0.01346
benchmarks/pms_crafted/frb/frb20-11-3.partial.wcnf,1,1,0.01011,0.00394,0.01406
benchmarks/pms_crafted/frb/frb20-11-4.partial.wcnf,1,1,0.0107,0.00501,0.01571
benchmarks/pms_crafted/frb/frb20-11-5.partial.wcnf,1,1,0.0091,0.00464,0.01374
benchmarks/pms_crafted/frb/frb25-13-1.partial.wcnf,1,1,0.00513,0.00394,0.00906
benchmarks/pms_crafted/frb/frb25-13-2.partial.wcnf,1,1,0.00557,0.00375,0.00932
benchmarks/pms_crafted/frb/frb25-13-3.partial.wcnf,1,1,0.00618,0.00282,0.009
benchmarks/pms_crafted/frb/frb25-13-4.partial.wcnf,1,1,0.00632,0.00288,0.0092
benchmarks/pms_crafted/frb/frb25-13-5.partial.wcnf,1,1,0.00582,0.00332,0.00914
benchmarks/pms_crafted/frb/frb30-15-1.partial.wcnf,1,1,0.00436,0.00234,0.0067
benchmarks/pms_crafted/frb/frb30-15-2.partial.wcnf,1,1,0.00386,0.0025,0.00636
benchmarks/pms_crafted/frb/frb30-15-3.partial.wcnf,1,1,0.00398,0.00272,0.0067
benchmarks/pms_crafted/frb/frb30-15-4.partial.wcnf,1,1,0.00349,0.00267,0.00616
benchmarks/pms_crafted/frb/frb30-15-5.partial.wcnf,1,1,0.00447,0.00256,0.00704
benchmarks/pms_crafted/frb/frb35-17-1.partial.wcnf,1,1,0.00291,0.00179,0.00469
benchmarks/pms_crafted/frb/frb35-17-2.partial.wcnf,1,1,0.00284,0.00189,0.00473
benchmarks/pms_crafted/frb/frb35-17-3.partial.wcnf,1,1,0.00419,0.00161,0.0058
benchmarks/pms_crafted/frb/frb35-17-4.partial.wcnf,1,1,0.00414,0.00123,0.00536
benchmarks/pms_crafted/frb/frb35-17-5.partial.wcnf,1,1,0.00319,0.00156,0.00475
benchmarks/pms_crafted/frb/frb40-19-1.partial.wcnf,1,1,0.00289,0.00135,0.00424
benchmarks/pms_crafted/frb/frb40-19-2.partial.wcnf,1,1,0.00271,0.00138,0.00408
benchmarks/pms_crafted/frb/frb40-19-3.partial.wcnf,1,1,0.00243,0.00138,0.00382
benchmarks/pms_crafted/frb/frb40-19-4.partial.wcnf,1,1,0.00228,0.0016,0.00388
benchmarks/pms_crafted/frb/frb40-19-5.partial.wcnf,1,1,0.00249,0.00162,0.00412
benchmarks/pms_crafted/job-shop/ft10-808-1090.wcnf,1,0.594,0.00188,0,0.00188
benchmarks/pms_crafted/job-shop/la04-567-0696.wcnf,1,0.59687,0.00383,0.00001,0.00384
benchmarks/pms_crafted/job-shop/orb08-894-1058.wcnf,1,0.59319,0.00188,0,0.00188
benchmarks/pms_crafted/maxclicque/random/max_clq_150-0-447-1.clq.wcnf,1,0.01379,0.00138,0.01232,0.0137
benchmarks/pms_crafted/maxclicque/random/max_clq_150-0-447-2.clq.wcnf,1,0.01379,0.00138,0.01232,0.0137
benchmarks/pms_crafted/maxclicque/random/max_clq_150-0-447-3.clq.wcnf,1,0.01379,0.0012,0.0125,0.0137
benchmarks/pms_crafted/maxclicque/random/max_clq_150-0-447-4.clq.wcnf,1,0.01379,0.00101,0.01269,0.0137
benchmarks/pms_crafted/maxclicque/random/max_clq_150-1-894-1.clq.wcnf,1,0.01438,0.00163,0.01227,0.0139
benchmarks/pms_crafted/maxclicque/random/max_clq_150-1-894-2.clq.wcnf,1,0.01438,0.00153,0.01237,0.0139
benchmarks/pms_crafted/maxclicque/random/max_clq_150-1-894-3.clq.wcnf,1,0.01438,0.00144,0.01237,0.01381
benchmarks/pms_crafted/maxclicque/random/max_clq_150-1-894-4.clq.wcnf,1,0.01438,0.00173,0.01237,0.01409
benchmarks/pms_crafted/maxclicque/random/max_clq_150-10-4917-1.clq.wcnf,1,0.02341,0.00406,0.01124,0.01529
benchmarks/pms_crafted/maxclicque/random/max_clq_150-10-4917-2.clq.wcnf,1,0.02341,0.00484,0.01077,0.01561
benchmarks/pms_crafted/maxclicque/random/max_clq_150-10-4917-3.clq.wcnf,1,0.02341,0.00499,0.01061,0.01561
benchmarks/pms_crafted/maxclicque/random/max_clq_150-10-4917-4.clq.wcnf,1,0.02341,0.00437,0.01092,0.01529
benchmarks/pms_crafted/maxclicque/random/max_clq_150-11-5364-1.clq.wcnf,1,0.02516,0.0047,0.01074,0.01543
benchmarks/pms_crafted/maxclicque/random/max_clq_150-11-5364-2.clq.wcnf,1,0.02516,0.00537,0.01107,0.01644
benchmarks/pms_crafted/maxclicque/random/max_clq_150-11-5364-3.clq.wcnf,1,0.02516,0.00436,0.01107,0.01543
benchmarks/pms_crafted/maxclicque/random/max_clq_150-11-5364-4.clq.wcnf,1,0.02516,0.00554,0.01107,0.01661
benchmarks/pms_crafted/maxclicque/random/max_clq_150-12-5811-1.clq.wcnf,1,0.0272,0.0058,0.01034,0.01614
benchmarks/pms_crafted/maxclicque/random/max_clq_150-12-5811-2.clq.wcnf,1,0.0272,0.0049,0.01088,0.01578
benchmarks/pms_crafted/maxclicque/random/max_clq_150-12-5811-3.clq.wcnf,1,0.0272,0.00598,0.01016,0.01614
benchmarks/pms_crafted/maxclicque/random/max_clq_150-12-5811-4.clq.wcnf,1,0.0272,0.00544,0.01034,0.01578
benchmarks/pms_crafted/maxclicque/random/max_clq_150-13-6258-1.clq.wcnf,1,0.0296,0.00632,0.01046,0.01678
benchmarks/pms_crafted/maxclicque/random/max_clq_150-13-6258-2.clq.wcnf,1,0.0296,0.00612,0.01007,0.01618
benchmarks/pms_crafted/maxclicque/random/max_clq_150-13-6258-3.clq.wcnf,1,0.0296,0.00612,0.01066,0.01678
benchmarks/pms_crafted/maxclicque/random/max_clq_150-13-6258-4.clq.wcnf,1,0.0296,0.00671,0.00947,0.01618
benchmarks/pms_crafted/maxclicque/random/max_clq_150-14-6705-1.clq.wcnf,1,0.03247,0.00736,0.00887,0.01623
benchmarks/pms_crafted/maxclicque/random/max_clq_150-14-6705-2.clq.wcnf,1,0.03247,0.00736,0.00996,0.01732
benchmarks/pms_crafted/maxclicque/random/max_clq_150-14-6705-3.clq.wcnf,1,0.03247,0.00584,0.01017,0.01602
benchmarks/pms_crafted/maxclicque/random/max_clq_150-14-6705-4.clq.wcnf,1,0.03247,0.00801,0.00909,0.0171
benchmarks/pms_crafted/maxclicque/random/max_clq_150-15-7152-1.clq.wcnf,1,0.03595,0.00719,0.00935,0.01653
benchmarks/pms_crafted/maxclicque/random/max_clq_150-15-7152-2.clq.wcnf,1,0.03595,0.00575,0.0103,0.01606
benchmarks/pms_crafted/maxclicque/random/max_clq_150-15-7152-3.clq.wcnf,1,0.03595,0.00791,0.00935,0.01725
benchmarks/pms_crafted/maxclicque/random/max_clq_150-15-7152-4.clq.wcnf,1,0.03595,0.00719,0.00911,0.0163
benchmarks/pms_crafted/maxclicque/random/max_clq_150-16-7599-1.clq.wcnf,1,0.04026,0.00751,0.00993,0.01744
benchmarks/pms_crafted/maxclicque/random/max_clq_150-16-7599-2.clq.wcnf,1,0.04026,0.00778,0.00966,0.01744
benchmarks/pms_crafted/maxclicque/random/max_clq_150-16-7599-3.clq.wcnf,1,0.04026,0.00751,0.00913,0.01664
benchmarks/pms_crafted/maxclicque/random/max_clq_150-16-7599-4.clq.wcnf,1,0.04026,0.00725,0.00939,0.01664
benchmarks/pms_crafted/maxclicque/random/max_clq_150-17-8046-1.clq.wcnf,1,0.04575,0.00884,0.00854,0.01738
benchmarks/pms_crafted/maxclicque/random/max_clq_150-17-8046-2.clq.wcnf,1,0.04575,0.00854,0.00854,0.01708
benchmarks/pms_crafted/maxclicque/random/max_clq_150-17-8046-3.clq.wcnf,1,0.04575,0.00732,0.00976,0.01708
benchmarks/pms_crafted/maxclicque/random/max_clq_150-17-8046-4.clq.wcnf,1,0.04575,0.00823,0.00884,0.01708
benchmarks/pms_crafted/maxclicque/random/max_clq_150-18-8493-1.clq.wcnf,1,0.05297,0.00953,0.00847,0.01801
benchmarks/pms_crafted/maxclicque/random/max_clq_150-18-8493-2.clq.wcnf,1,0.05297,0.00953,0.00847,0.01801
benchmarks/pms_crafted/maxclicque/random/max_clq_150-18-8493-3.clq.wcnf,1,0.05297,0.01024,0.00847,0.01871
benchmarks/pms_crafted/maxclicque/random/max_clq_150-18-8493-4.clq.wcnf,1,0.05297,0.01201,0.00812,0.02013
benchmarks/pms_crafted/maxclicque/random/max_clq_150-19-8940-1.clq.wcnf,1,0.06289,0.01006,0.00797,0.01803
benchmarks/pms_crafted/maxclicque/random/max_clq_150-19-8940-2.clq.wcnf,1,0.06289,0.01132,0.00755,0.01887
benchmarks/pms_crafted/maxclicque/random/max_clq_150-19-8940-3.clq.wcnf,1,0.06289,0.01216,0.00755,0.01971
benchmarks/pms_crafted/maxclicque/random/max_clq_150-19-8940-4.clq.wcnf,1,0.06289,0.01048,0.00713,0.01761
benchmarks/pms_crafted/maxclicque/random/max_clq_150-2-1341-1.clq.wcnf,1,0.01502,0.002,0.01212,0.01412
benchmarks/pms_crafted/maxclicque/random/max_clq_150-2-1341-2.clq.wcnf,1,0.01502,0.0019,0.01242,0.01432
