@RELATION 'FEATURE_VALUES_MaxSAT-2012-pms-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE horn NUMERIC
@ATTRIBUTE vcg_var_spread NUMERIC
@ATTRIBUTE vcg_var_min NUMERIC

@DATA
benchmarks/pms_crafted/frb/frb20-11-1.partial.wcnf,1,1,0.00837,0.00495
benchmarks/pms_crafted/frb/frb20-11-2.partial.wcnf,1,1,0.00828,0.00518
benchmarks/pms_crafted/frb/frb20-11-3.partial.wcnf,1,1,0.01011,0.00394
benchmarks/pms_crafted/frb/frb20-11-4.partial.wcnf,1,1,0.0107,0.00501
benchmarks/pms_crafted/frb/frb20-11-5.partial.wcnf,1,1,0.0091,0.00464
benchmarks/pms_crafted/frb/frb25-13-1.partial.wcnf,1,1,0.00513,0.00394
benchmarks/pms_crafted/frb/frb25-13-2.partial.wcnf,1,1,0.00557,0.00375
benchmarks/pms_crafted/frb/frb25-13-3.partial.wcnf,1,1,0.00618,0.00282
benchmarks/pms_crafted/frb/frb25-13-4.partial.wcnf,1,1,0.00632,0.00288
benchmarks/pms_crafted/frb/frb25-13-5.partial.wcnf,1,1,0.00582,0.00332
benchmarks/pms_crafted/frb/frb30-15-1.partial.wcnf,1,1,0.00436,0.00234
benchmarks/pms_crafted/frb/frb30-15-2.partial.wcnf,1,1,0.00386,0.0025
benchmarks/pms_crafted/frb/frb30-15-3.partial.wcnf,1,1,0.00398,0.00272
benchmarks/pms_crafted/frb/frb30-15-4.partial.wcnf,1,1,0.00349,0.00267
benchmarks/pms_crafted/frb/frb30-15-5.partial.wcnf,1,1,0.00447,0.00256
benchmarks/pms_crafted/frb/frb35-17-1.partial.wcnf,1,1,0.00291,0.00179
benchmarks/pms_crafted/frb/frb35-17-2.partial.wcnf,1,1,0.00284,0.00189
benchmarks/pms_crafted/frb/frb35-17-3.partial.wcnf,1,1,0.00419,0.00161
benchmarks/pms_crafted/frb/frb35-17-4.partial.wcnf,1,1,0.00414,0.00123
benchmarks/pms_crafted/frb/frb35-17-5.partial.wcnf,1,1,0.00319,0.00156
benchmarks/pms_crafted/frb/frb40-19-1.partial.wcnf,1,1,0.00289,0.00135
benchmarks/pms_crafted/frb/frb40-19-2.partial.wcnf,1,1,0.00271,0.00138
benchmarks/pms_crafted/frb/frb40-19-3.partial.wcnf,1,1,0.00243,0.00138
benchmarks/pms_crafted/frb/frb40-19-4.partial.wcnf,1,1,0.00228,0.0016
benchmarks/pms_crafted/frb/frb40-19-5.partial.wcnf,1,1,0.00249,0.00162
benchmarks/pms_crafted/job-shop/ft10-808-1090.wcnf,1,0.594,0.00188,0
benchmarks/pms_crafted/job-shop/la04-567-0696.wcnf,1,0.59687,0.00383,0.00001
benchmarks/pms_crafted/job-shop/orb08-894-1058.wcnf,1,0.59319,0.00188,0
benchmarks/pms_crafted/maxclicque/random/max_clq_150-0-447-1.clq.wcnf,1,0.01379,0.00138,0.01232
benchmarks/pms_crafted/maxclicque/random/max_clq_150-0-447-2.clq.wcnf,1,0.01379,0.00138,0.01232
benchmarks/pms_crafted/maxclicque/random/max_clq_150-0-447-3.clq.wcnf,1,0.01379,0.0012,0.0125
benchmarks/pms_crafted/maxclicque/random/max_clq_150-0-447-4.clq.wcnf,1,0.01379,0.00101,0.01269
benchmarks/pms_crafted/maxclicque/random/max_clq_150-1-894-1.clq.wcnf,1,0.01438,0.00163,0.01227
benchmarks/pms_crafted/maxclicque/random/max_clq_150-1-894-2.clq.wcnf,1,0.01438,0.00153,0.01237
