@RELATION 'FEATURE_VALUES_MaxSAT-2012-pms-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE horn NUMERIC
@ATTRIBUTE vcg_var_spread NUMERIC
@ATTRIBUTE vcg_var_min NUMERIC
@ATTRIBUTE vcg_var_max NUMERIC
@ATTRIBUTE vcg_cls_mean NUMERIC
@ATTRIBUTE vcg_cls_spread NUMERIC
@ATTRIBUTE vcg_cls_std NUMERIC
@ATTRIBUTE vcg_cls_min NUMERIC
@ATTRIBUTE vcg_var_std NUMERIC
@ATTRIBUTE vcg_var_mean NUMERIC
@ATTRIBUTE var_clauses_ratio NUMERIC
@ATTRIBUTE soft_max NUMERIC
@ATTRIBUTE numClauses NUMERIC
@ATTRIBUTE perc_soft NUMERIC
@ATTRIBUTE soft_mean NUMERIC
@ATTRIBUTE soft_std NUMERIC
@ATTRIBUTE soft_min NUMERIC
@ATTRIBUTE vcg_cls_max NUMERIC
@ATTRIBUTE pnr_var_mean NUMERIC
@ATTRIBUTE horn_spread NUMERIC
@ATTRIBUTE horn_mean NUMERIC
@ATTRIBUTE binary NUMERIC
@ATTRIBUTE trinary NUMERIC
@ATTRIBUTE horn_std NUMERIC
@ATTRIBUTE pnr_var_std NUMERIC
@ATTRIBUTE horn_min NUMERIC
@ATTRIBUTE horn_max NUMERIC
@ATTRIBUTE unary NUMERIC
@ATTRIBUTE pnr_cls_spread NUMERIC
@ATTRIBUTE pnr_cls_max NUMERIC
@ATTRIBUTE pnr_cls_min NUMERIC
@ATTRIBUTE pnr_var_min NUMERIC

@DATA
benchmarks/pms_crafted/frb/frb20-11-1.partial.wcnf,1,1,0.00837,0.00495,0.01332,0.00892,0.00455,0.09692,0.00455,0.2011,0.00892,0.03758,1,5854,0.03758,1,0,1,0.00909,0.02001,0.00837,0.00892,1,1,0,0.21993,0.00495,0.01332,0.03758,1,1,0,0.01282
benchmarks/pms_crafted/frb/frb20-11-2.partial.wcnf,1,1,0.00828,0.00518,0.01346,0.00892,0.00455,0.09741,0.00455,0.18789,0.00892,0.03797,1,5794,0.03797,1,0,1,0.00909,0.02009,0.00828,0.00892,1,1,0,0.20184,0.00518,0.01346,0.03797,1,1,0,0.01282
benchmarks/pms_crafted/frb/frb20-11-3.partial.wcnf,1,1,0.01011,0.00394,0.01406,0.00892,0.00455,0.09708,0.00455,0.20152,0.00892,0.03772,1,5833,0.03772,1,0,1,0.00909,0.02023,0.01011,0.00892,1,1,0,0.26179,0.00394,0.01406,0.03772,1,1,0,0.0122
benchmarks/pms_crafted/frb/frb20-11-4.partial.wcnf,1,1,0.0107,0.00501,0.01571,0.00892,0.00455,0.09742,0.00455,0.20415,0.00892,0.03798,1,5793,0.03798,1,0,1,0.00909,0.02019,0.0107,0.00892,1,1,0,0.20837,0.00501,0.01571,0.03798,1,1,0,0.01099
benchmarks/pms_crafted/frb/frb20-11-5.partial.wcnf,1,1,0.0091,0.00464,0.01374,0.00892,0.00455,0.0972,0.00455,0.24191,0.00892,0.03779,1,5821,0.03779,1,0,1,0.00909,0.02046,0.0091,0.00892,1,1,0,0.2512,0.00464,0.01374,0.03779,1,1,0,0.0125
benchmarks/pms_crafted/frb/frb25-13-1.partial.wcnf,1,1,0.00513,0.00394,0.00906,0.00606,0.00308,0.08623,0.00308,0.15467,0.00606,0.02975,1,10924,0.02975,1,0,1,0.00615,0.01547,0.00513,0.00606,1,1,0,0.15722,0.00394,0.00906,0.02975,1,1,0,0.0101
benchmarks/pms_crafted/frb/frb25-13-2.partial.wcnf,1,1,0.00557,0.00375,0.00932,0.00606,0.00308,0.08616,0.00308,0.18913,0.00606,0.0297,1,10943,0.0297,1,0,1,0.00615,0.01561,0.00557,0.00606,1,1,0,0.1858,0.00375,0.00932,0.0297,1,1,0,0.0098
benchmarks/pms_crafted/frb/frb25-13-3.partial.wcnf,1,1,0.00618,0.00282,0.009,0.00606,0.00308,0.08593,0.00308,0.20472,0.00606,0.02953,1,11005,0.02953,1,0,1,0.00615,0.01571,0.00618,0.00606,1,1,0,0.23296,0.00282,0.009,0.02953,1,1,0,0.0101
benchmarks/pms_crafted/frb/frb25-13-4.partial.wcnf,1,1,0.00632,0.00288,0.0092,0.00606,0.00308,0.08687,0.00308,0.20203,0.00606,0.0302,1,10762,0.0302,1,0,1,0.00615,0.01602,0.00632,0.00606,1,1,0,0.22086,0.00288,0.0092,0.0302,1,1,0,0.0101
benchmarks/pms_crafted/frb/frb25-13-5.partial.wcnf,1,1,0.00582,0.00332,0.00914,0.00606,0.00308,0.0866,0.00308,0.18128,0.00606,0.03,1,10833,0.03,1,0,1,0.00615,0.01577,0.00582,0.00606,1,1,0,0.19648,0.00332,0.00914,0.03,1,1,0,0.0101
