@RELATION 'FEATURE_VALUES_MaxSAT-2012-pms-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 1'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE horn NUMERIC

@DATA
benchmarks/pms_crafted/frb/frb20-11-1.partial.wcnf,1,1
benchmarks/pms_crafted/frb/frb20-11-2.partial.wcnf,1,1
benchmarks/pms_crafted/frb/frb20-11-3.partial.wcnf,1,1
benchmarks/pms_crafted/frb/frb20-11-4.partial.wcnf,1,1
benchmarks/pms_crafted/frb/frb20-11-5.partial.wcnf,1,1
benchmarks/pms_crafted/frb/frb25-13-1.partial.wcnf,1,1
benchmarks/pms_crafted/frb/frb25-13-2.partial.wcnf,1,1
benchmarks/pms_crafted/frb/frb25-13-3.partial.wcnf,1,1
benchmarks/pms_crafted/frb/frb25-13-4.partial.wcnf,1,1
benchmarks/pms_crafted/frb/frb25-13-5.partial.wcnf,1,1
benchmarks/pms_crafted/frb/frb30-15-1.partial.wcnf,1,1
benchmarks/pms_crafted/frb/frb30-15-2.partial.wcnf,1,1
benchmarks/pms_crafted/frb/frb30-15-3.partial.wcnf,1,1
benchmarks/pms_crafted/frb/frb30-15-4.partial.wcnf,1,1
benchmarks/pms_crafted/frb/frb30-15-5.partial.wcnf,1,1
benchmarks/pms_crafted/frb/frb35-17-1.partial.wcnf,1,1
benchmarks/pms_crafted/frb/frb35-17-2.partial.wcnf,1,1
benchmarks/pms_crafted/frb/frb35-17-3.partial.wcnf,1,1
benchmarks/pms_crafted/frb/frb35-17-4.partial.wcnf,1,1
benchmarks/pms_crafted/frb/frb35-17-5.partial.wcnf,1,1
benchmarks/pms_crafted/frb/frb40-19-1.partial.wcnf,1,1
benchmarks/pms_crafted/frb/frb40-19-2.partial.wcnf,1,1
benchmarks/pms_crafted/frb/frb40-19-3.partial.wcnf,1,1
benchmarks/pms_crafted/frb/frb40-19-4.partial.wcnf,1,1
benchmarks/pms_crafted/frb/frb40-19-5.partial.wcnf,1,1
benchmarks/pms_crafted/job-shop/ft10-808-1090.wcnf,1,0.594
